region,category,sumviews
Canada                   ,Entertainment                                                                                       ,13671215509
France                   ,Music                                                                                               ,5026447522
Germany                  ,Entertainment                                                                                       ,8102638694
GreatBritain             ,Music                                                                                               ,170421287915
India                    ,Entertainment                                                                                       ,13326399551
Japan                    ,Entertainment                                                                                       ,1239934955
Korea                    ,Entertainment                                                                                       ,4350248043
Mexico                   ,Music                                                                                               ,4075106067
Russia                   ,Entertainment                                                                                       ,2085173930
USA                      ,Music                                                                                               ,40126286541
